,US 1,US 2,US 3,US 4,US 5
1,0.022179622,0.025223797,0.056336525,0.073108398,0.02978296
2,0.02262412,0.025418951,0.054920152,0.077897985,0.027781631
3,0.023104964,0.025698,0.05553542,0.073605443,0.029787125
4,0.022716284,0.026523848,0.056003609,0.072959284,0.030604188
5,0.022663608,0.025757395,0.051610693,0.073046896,0.034825295
6,0.022290591,0.024862724,0.047955179,0.072347929,0.031346891
7,0.022497482,0.022808481,0.050886426,0.070995367,0.028362581
8,0.022262375,0.025500025,0.057871086,0.074234814,0.028429674
9,0.022602176,0.026080761,0.051724936,0.076178853,0.029935873
10,0.024493613,0.026236309,0.046285337,0.075307795,0.031326605
11,0.023627206,0.027499598,0.040699305,0.071431516,0.033805383
12,0.022680545,0.025895025,0.039889667,0.067852217,0.033546378
13,0.023222837,0.026126005,0.043654843,0.067416064,0.029861498
14,0.022017253,0.024587436,0.044483524,0.071524704,0.027685936
15,0.022298744,0.025061643,0.044249759,0.070165309,0.030435685
16,0.022358303,0.024957938,0.04363383,0.067004755,0.030546456
17,0.022767058,0.027245998,0.040266585,0.067719256,0.032302828
18,0.022994008,0.025535846,0.038925722,0.066011303,0.031023915
19,0.023926879,0.027170574,0.037483078,0.064106411,0.031678714
20,0.022585248,0.025860149,0.037200722,0.067823014,0.030605233
21,0.02346232,0.025671602,0.04061591,0.065340925,0.029465178
22,0.022145772,0.024070819,0.041384185,0.064830212,0.033274887
23,0.022063016,0.025190795,0.038393843,0.06329871,0.032544669
24,0.023022844,0.026124114,0.038276959,0.064648793,0.033121976
25,0.022773949,0.024751487,0.037338617,0.06173801,0.031654788
26,0.022636032,0.024648716,0.035331273,0.067621098,0.028712077
27,0.022821599,0.025466086,0.03787575,0.06238479,0.029406932
28,0.022137621,0.024766569,0.038329491,0.064313293,0.032505665
29,0.022474286,0.02652479,0.035977404,0.068331238,0.031527887
30,0.023382697,0.024627051,0.03602928,0.062648216,0.028555535
31,0.024573236,0.027085726,0.034454001,0.064160462,0.026209378
32,0.0241883,0.026418257,0.035317488,0.067935476,0.028221111
33,0.022601553,0.025884668,0.038904053,0.068126823,0.030732655
34,0.022417232,0.025385945,0.041557534,0.066191484,0.032599291
35,0.022171473,0.0252634,0.040581765,0.070295786,0.031717721
36,0.022249216,0.024745811,0.042086781,0.065495632,0.030409151
37,0.021635455,0.025690466,0.045150013,0.065385038,0.029578045
38,0.023024093,0.026257054,0.046994511,0.073597981,0.025060485
39,0.023324395,0.026321153,0.057443617,0.078255859,0.028058843
40,0.024887325,0.028178364,0.052500433,0.080246499,0.030472094
41,0.023350098,0.025975168,0.046260389,0.0764311,0.031574173
42,0.023071741,0.02499377,0.046264989,0.075267406,0.035289743
43,0.023546962,0.025788506,0.047421324,0.072912074,0.032131197
44,0.022601549,0.025146487,0.049665061,0.073017693,0.026810605
45,0.022713142,0.025525486,0.056069928,0.07848512,0.028940406
46,0.022457983,0.024740165,0.058453522,0.076330452,0.031047833
47,0.022504377,0.025304871,0.056727874,0.074141617,0.031008315
